name,info
Lower Body Circuit,"[{'exercise': 'Reverse Hyper', 'sets': 3, 'reps': [15, 15, 15]}, {'exercise': 'KB Sumo Squat', 'sets': 3, 'reps': [15, 15, 15]}]"
FINISHER,"[{'exercise': 'Prowler - Push', 'sets': 5, 'reps': [0, 0, 0, 0, 0]}]"
Accessories,"[{'exercise': '1-Leg Bench Buck', 'sets': 1, 'reps': [12]}, {'exercise': '1-Arm DB Row', 'sets': 1, 'reps': [12]}, {'exercise': 'Superman + Shoulder Extension - advanced', 'sets': 3, 'reps': [12, 12, 12]}, {'exercise': '1-Arm DB Row', 'sets': 2, 'reps': [12, 12]}, {'exercise': '1-Leg Bench Buck', 'sets': 2, 'reps': [12, 12]}]"
C Block,"[{'exercise': 'DB Split Squat', 'sets': 3, 'reps': [8, 8, 8]}]"
A Block,"[{'exercise': 'Goblet Squat', 'sets': 4, 'reps': [10, 10, 10, 10]}]"
Extra Core,"[{'exercise': 'Bear Crawl - Forward', 'sets': 2, 'reps': [0, 0]}]"
Barbell Complex,"[{'exercise': 'Barbell RDL', 'sets': 1, 'reps': [10]}, {'exercise': 'Barbell Clean High Pull', 'sets': 1, 'reps': [5]}, {'exercise': 'Barbell Hang Clean', 'sets': 1, 'reps': [5]}, {'exercise': 'Barbell Front Squat', 'sets': 2, 'reps': [5, 5]}, {'exercise': 'Barbell Hang Clean', 'sets': 1, 'reps': [5]}, {'exercise': 'Barbell Clean High Pull', 'sets': 1, 'reps': [5]}, {'exercise': 'Barbell RDL', 'sets': 1, 'reps': [10]}]"
Barbell Complex Day 1,"[{'exercise': 'Barbell RDL', 'sets': 1, 'reps': [10]}, {'exercise': 'Barbell Clean High Pull', 'sets': 1, 'reps': [5]}, {'exercise': 'Barbell Front Squat', 'sets': 1, 'reps': [10]}, {'exercise': 'Barbell Push Press', 'sets': 2, 'reps': [5, 5]}, {'exercise': 'Barbell Front Squat', 'sets': 1, 'reps': [10]}, {'exercise': 'Barbell Clean High Pull', 'sets': 1, 'reps': [5]}, {'exercise': 'Barbell RDL', 'sets': 1, 'reps': [10]}]"
Activation,"[{'exercise': 'Clamshell', 'sets': 3, 'reps': [15, 15, 15]}]"
Block One,"[{'exercise': 'Barbell Back Squat', 'sets': 4, 'reps': [2, 2, 2, 2]}]"
Block Two,"[{'exercise': 'Stepup', 'sets': 3, 'reps': [6, 6, 6]}]"
Upper Body Pull,"[{'exercise': 'Barbell Bench Press', 'sets': 3, 'reps': [8, 8, 8]}, {'exercise': 'Band Face Pull', 'sets': 3, 'reps': [10, 10, 10]}, {'exercise': '1/2 V-Up', 'sets': 3, 'reps': [10, 10, 10]}]"
Upper Body Push,"[{'exercise': 'Pullup', 'sets': 3, 'reps': [8, 8, 8]}, {'exercise': '3-Legged Downward Dog', 'sets': 3, 'reps': [10, 10, 10]}]"
Upper Body C Series,"[{'exercise': 'Supine Row', 'sets': 3, 'reps': [10, 10, 10]}, {'exercise': '1-Arm DB/KB Sky Crunch', 'sets': 2, 'reps': [10, 10]}, {'exercise': 'Pushup', 'sets': 3, 'reps': [8, 8, 8]}]"
Unnamed Block,"[{'exercise': 'Bands: Posterior Raise', 'sets': 3, 'reps': [15, 15, 15]}]"
Skip Prep- Barefoot,"[{'exercise': 'Lateral Line Hop - Quick', 'sets': 2, 'reps': [0, 0]}]"
Strength Power,"[{'exercise': 'Lateral Bound', 'sets': 4, 'reps': [3, 3, 3, 3]}]"
Upper Body Engagement ,"[{'exercise': 'DB Shrug', 'sets': 2, 'reps': [10, 10]}]"
Strength,"[{'exercise': 'Barbell Bench Press', 'sets': 5, 'reps': [5, 3, 2, 2, 1]}]"
Lower Body Push,"[{'exercise': 'Barbell Back Squat', 'sets': 3, 'reps': [8, 8, 8]}, {'exercise': 'Active Single-Leg Lowering', 'sets': 3, 'reps': [10, 10, 10]}]"
Primary,"[{'exercise': 'Box Jump', 'sets': 3, 'reps': [3, 3, 3]}]"
Primary 2,"[{'exercise': 'Pullup', 'sets': 4, 'reps': [4, 4, 4, 4]}, {'exercise': 'MB Throwdown', 'sets': 3, 'reps': [3, 3, 3]}]"
Primary 3,"[{'exercise': '1-Arm Alternating KB Swing + Catch', 'sets': 1, 'reps': [0]}]"
Day 1 (A series),"[{'exercise': 'KB/DB Goblet Squat', 'sets': 3, 'reps': [8, 8, 8]}]"
Day 1 (B Series),"[{'exercise': 'Pullup', 'sets': 2, 'reps': [5, 5]}, {'exercise': 'Band Alligator', 'sets': 2, 'reps': [8, 8]}, {'exercise': 'Pullup', 'sets': 2, 'reps': [5, 0]}, {'exercise': 'Band Alligator', 'sets': 1, 'reps': [8]}]"
Day 1 FINISHER,"[{'exercise': 'Prowler - Push', 'sets': 5, 'reps': [0, 0, 0, 0, 0]}]"
Day 2 B Series,"[{'exercise': 'Pushup', 'sets': 2, 'reps': [8, 8]}, {'exercise': 'Band Face Pull', 'sets': 1, 'reps': [10]}, {'exercise': '1/2 V-Up', 'sets': 2, 'reps': [8, 8]}, {'exercise': 'Band Face Pull', 'sets': 1, 'reps': [10]}, {'exercise': 'Pushup', 'sets': 2, 'reps': [8, 0]}, {'exercise': 'Band Face Pull', 'sets': 1, 'reps': [10]}, {'exercise': '1/2 V-Up', 'sets': 1, 'reps': [8]}]"
Day 3 C Series,"[{'exercise': '1-Leg KB RDL -2- Bench', 'sets': 2, 'reps': [8, 8]}, {'exercise': 'Quadruped', 'sets': 2, 'reps': [0, 0]}, {'exercise': '1-Leg KB RDL -2- Bench', 'sets': 1, 'reps': [8]}, {'exercise': 'Quadruped', 'sets': 1, 'reps': [5]}]"
Day 3 A Series,"[{'exercise': '1-Leg Box Squat', 'sets': 2, 'reps': [0, 8]}, {'exercise': 'Banded Clamshell', 'sets': 1, 'reps': [1]}, {'exercise': 'SB Hamstring Curl', 'sets': 2, 'reps': [10, 10]}, {'exercise': 'Banded Clamshell', 'sets': 1, 'reps': [10]}, {'exercise': '1-Leg Box Squat', 'sets': 1, 'reps': [8]}, {'exercise': 'Banded Clamshell', 'sets': 1, 'reps': [103]}, {'exercise': 'SB Hamstring Curl', 'sets': 1, 'reps': [10]}]"
Day  B Series,"[{'exercise': 'Chinup', 'sets': 2, 'reps': [8, 8]}, {'exercise': '1-Arm DB/KB Sky Crunch', 'sets': 2, 'reps': [5, 5]}, {'exercise': 'Chinup', 'sets': 2, 'reps': [8, 0]}, {'exercise': '1-Arm DB/KB Sky Crunch', 'sets': 1, 'reps': [5]}]"
Upper Body D Series,"[{'exercise': 'Bands: Posterior Raise', 'sets': 3, 'reps': [15, 15, 15]}]"
MB Series,"[{'exercise': '1/2 V-Up', 'sets': 3, 'reps': [10, 10, 10]}]"
Warmup,"[{'exercise': 'Barbell Back Squat', 'sets': 2, 'reps': [5, 5]}]"
TRX Series,"[{'exercise': 'TRX T', 'sets': 3, 'reps': [10, 10, 10]}, {'exercise': 'TRX Tricep Extension', 'sets': 3, 'reps': [10, 10, 10]}, {'exercise': 'TRX 3-Way Row', 'sets': 3, 'reps': [10, 10, 10]}]"
CNS Prime,"[{'exercise': 'Box Jump', 'sets': 2, 'reps': [3, 3]}]"
Mobility,"[{'exercise': '90/90', 'sets': 3, 'reps': [0, 0, 0]}, {'exercise': 'Lateral Squat', 'sets': 3, 'reps': [10, 10, 10]}, {'exercise': 'Monster Walks - continuous', 'sets': 3, 'reps': [0, 0, 0]}]"
Upper Body,"[{'exercise': 'Incline Pushup', 'sets': 4, 'reps': [10, 10, 10, 10]}, {'exercise': 'Lat Pulldown (front)', 'sets': 4, 'reps': [10, 10, 10, 10]}, {'exercise': 'Seated DB Military Press (SB)', 'sets': 4, 'reps': [10, 10, 10, 10]}]"
if you have extra time after testing,"[{'exercise': 'DB Stepup', 'sets': 3, 'reps': [8, 8, 8]}, {'exercise': '""V"" Toe Touch', 'sets': 3, 'reps': [20, 20, 20]}]"
Finisher Cardio,"[{'exercise': 'Prowler - Push', 'sets': 1, 'reps': [0]}]"
TRX Block,"[{'exercise': 'TRX Y', 'sets': 2, 'reps': [10, 10]}, {'exercise': 'TRX T', 'sets': 2, 'reps': [10, 10]}, {'exercise': 'TRX Tricep Extension', 'sets': 2, 'reps': [10, 10]}, {'exercise': 'TRX Bicep Curl', 'sets': 2, 'reps': [10, 10]}]"
Neural Warm Up,"[{'exercise': 'KB Swing', 'sets': 3, 'reps': [6, 6, 6]}]"
C Series: Optional,"[{'exercise': 'Back Extension HOLD', 'sets': 2, 'reps': [3, 3]}]"
Finisher (For Time),"[{'exercise': 'Jump Rope', 'sets': 1, 'reps': [50]}, {'exercise': 'SB Pike-up', 'sets': 4, 'reps': [10, 10, 10, 10]}, {'exercise': 'Jump Rope', 'sets': 3, 'reps': [50, 50, 50]}]"
Strength/Cardio Circuit 30seconds work/20seconds rest x4,"[{'exercise': 'Reverse Lunge', 'sets': 1, 'reps': [0]}, {'exercise': 'Jump Rope', 'sets': 1, 'reps': [0]}, {'exercise': 'TRX Bicep Curl', 'sets': 1, 'reps': [0]}, {'exercise': 'TRX Mountain Climber', 'sets': 1, 'reps': [0]}]"
Strength/Cardio Circuit 30seconds work/20seconds rest x5,"[{'exercise': 'Reverse Lunge', 'sets': 1, 'reps': [0]}, {'exercise': 'Jump Rope', 'sets': 1, 'reps': [0]}, {'exercise': 'TRX Bicep Curl', 'sets': 1, 'reps': [0]}, {'exercise': 'TRX Mountain Climber', 'sets': 1, 'reps': [0]}]"
Strength/Cardio Circuit 30seconds work/20seconds rest x6,"[{'exercise': 'Reverse Lunge', 'sets': 1, 'reps': [0]}, {'exercise': 'Jump Rope', 'sets': 1, 'reps': [0]}, {'exercise': 'TRX Bicep Curl', 'sets': 1, 'reps': [0]}, {'exercise': 'TRX Mountain Climber', 'sets': 1, 'reps': [0]}]"
CIRCUIT: 20 seconds Rest. x3,"[{'exercise': 'Goblet Squat', 'sets': 1, 'reps': [0]}, {'exercise': 'TRX Atomic Pushup', 'sets': 1, 'reps': [0]}, {'exercise': 'TRX Mountain Climber', 'sets': 1, 'reps': [30]}]"
"Finisher 20 seconds work, 10 seconds rest x4 Rounds","[{'exercise': 'BW Squat', 'sets': 1, 'reps': [0]}]"
Finisher: For Time (get through all rounds as fast as you can while maintaining tech.),"[{'exercise': 'Jump Rope', 'sets': 4, 'reps': [100, 80, 60, 40]}]"
Hurdle Warm Up,"[{'exercise': '1-Leg Hurdle Hops - Stability', 'sets': 1, 'reps': [5]}, {'exercise': '1-Leg Lateral Hurdle Hops - Stability', 'sets': 3, 'reps': [5, 5, 5]}, {'exercise': '1-Leg Hurdle Hops - Stability', 'sets': 2, 'reps': [5, 5]}]"
20 seconds between exercises: 3 Rounds: 2 min Break between Rounds,"[{'exercise': 'Jump Rope', 'sets': 3, 'reps': [0, 0, 0]}]"
3 Rounds: 2 min Break between Rounds,"[{'exercise': 'Jump Rope', 'sets': 3, 'reps': [0, 0, 0]}]"
KB,"[{'exercise': 'KB Swing', 'sets': 6, 'reps': [10, 10, 10, 10, 10, 10]}]"
Barbell Complex: No rest or changing weights  B/W Exercises,"[{'exercise': 'Barbell RDL', 'sets': 1, 'reps': [5]}, {'exercise': 'Barbell Front Squat', 'sets': 1, 'reps': [5]}, {'exercise': 'Barbell Push Press', 'sets': 3, 'reps': [5, 5, 5]}, {'exercise': 'Barbell Front Squat', 'sets': 2, 'reps': [5, 5]}, {'exercise': 'Barbell RDL', 'sets': 2, 'reps': [5, 5]}]"
Barbell Complex 2,"[{'exercise': 'Barbell RDL', 'sets': 1, 'reps': [5]}, {'exercise': 'Barbell Front Squat', 'sets': 1, 'reps': [5]}, {'exercise': 'Barbell Push Press', 'sets': 3, 'reps': [5, 5, 5]}, {'exercise': 'Barbell Front Squat', 'sets': 2, 'reps': [5, 5]}, {'exercise': 'Barbell RDL', 'sets': 2, 'reps': [5, 5]}]"
Warm Up Block,"[{'exercise': '1-Leg Hurdle Hops - Continuous', 'sets': 1, 'reps': [5]}, {'exercise': '1-Leg Lateral Hurdle Hops - Continuous', 'sets': 3, 'reps': [5, 5, 5]}, {'exercise': '1-Leg Hurdle Hops - Continuous', 'sets': 2, 'reps': [5, 5]}]"
Jump Rope,"[{'exercise': 'Jump Rope', 'sets': 3, 'reps': [50, 50, 50]}]"
CSeries,"[{'exercise': 'Walking Lunge', 'sets': 3, 'reps': [8, 8, 8]}]"
Circuit,"[{'exercise': 'BW Squat', 'sets': 1, 'reps': [10]}, {'exercise': 'V-Up', 'sets': 1, 'reps': [15]}, {'exercise': 'Jump Rope', 'sets': 1, 'reps': [0]}, {'exercise': 'Walking Lunge', 'sets': 1, 'reps': [20]}, {'exercise': 'Partner Glute-Ham Raise', 'sets': 1, 'reps': [10]}, {'exercise': 'Mountain Climbers', 'sets': 1, 'reps': [40]}, {'exercise': 'Tricep Dips (Bench)', 'sets': 3, 'reps': [15, 15, 15]}, {'exercise': 'Mountain Climbers', 'sets': 2, 'reps': [40, 40]}, {'exercise': 'Partner Glute-Ham Raise', 'sets': 2, 'reps': [10, 10]}, {'exercise': 'Walking Lunge', 'sets': 2, 'reps': [20, 20]}, {'exercise': 'Jump Rope', 'sets': 2, 'reps': [0, 0]}, {'exercise': 'V-Up', 'sets': 2, 'reps': [15, 15]}, {'exercise': 'BW Squat', 'sets': 2, 'reps': [10, 10]}]"
Body Weight Warm Up,"[{'exercise': 'Squat', 'sets': 1, 'reps': [10]}, {'exercise': 'Pushup', 'sets': 1, 'reps': [10]}, {'exercise': 'Inchworm', 'sets': 2, 'reps': [10, 10]}, {'exercise': 'Pushup', 'sets': 1, 'reps': [10]}, {'exercise': 'Squat', 'sets': 1, 'reps': [10]}]"
Warm-Up,"[{'exercise': 'Forward - Reverse Lunge', 'sets': 2, 'reps': [10, 10]}]"
Finisher For Time ,"[{'exercise': 'Jump Rope', 'sets': 1, 'reps': [0]}, {'exercise': 'V-Up', 'sets': 3, 'reps': [20, 20, 20]}, {'exercise': 'Jump Rope', 'sets': 2, 'reps': [0, 0]}]"
Round 1: 30 seconds work,"[{'exercise': 'BW Squat', 'sets': 1, 'reps': [0]}, {'exercise': 'Wide Pushup', 'sets': 1, 'reps': [0]}, {'exercise': 'Komodo Dragon Walk', 'sets': 1, 'reps': [0]}, {'exercise': '1-Leg SLDL', 'sets': 1, 'reps': [0]}, {'exercise': 'Tricep Dips (Bench)', 'sets': 1, 'reps': [0]}, {'exercise': 'Reverse Crunches', 'sets': 1, 'reps': [0]}]"
Round 2: 35 seconds,"[{'exercise': 'Pushup', 'sets': 1, 'reps': [0]}, {'exercise': 'Komodo Dragon Walk', 'sets': 1, 'reps': [0]}, {'exercise': 'Reverse Lunge', 'sets': 2, 'reps': [0, 0]}]"
Round 3: 40 seconds,"[{'exercise': 'Spiderman Pushup', 'sets': 1, 'reps': [0]}, {'exercise': 'Komodo Dragon Walk', 'sets': 1, 'reps': [0]}, {'exercise': 'V-Up', 'sets': 1, 'reps': [0]}, {'exercise': 'Lateral Jump', 'sets': 1, 'reps': [0]}]"
1,"[{'exercise': 'Komodo Dragon Walk', 'sets': 1, 'reps': [0]}]"
2,"[{'exercise': 'Mountain Climbers', 'sets': 1, 'reps': [20]}]"
3,"[{'exercise': 'Squat', 'sets': 1, 'reps': [20]}]"
4,"[{'exercise': 'Superman + Shoulder Extension - advanced', 'sets': 1, 'reps': [10]}]"
5,"[{'exercise': 'Burpee - 1-Leg', 'sets': 1, 'reps': [10]}, {'exercise': 'Fire Hydrant', 'sets': 1, 'reps': [10]}]"
AMRAP,"[{'exercise': 'V-Up', 'sets': 1, 'reps': [20]}, {'exercise': 'Squat', 'sets': 1, 'reps': [30]}]"
Strength Block 1,"[{'exercise': 'DB Bench Press', 'sets': 1, 'reps': [10]}]"
Strength Block 2,"[{'exercise': 'Close-Grip Pushup', 'sets': 3, 'reps': [0, 0, 0]}]"
Ropes,"[{'exercise': 'Ropes - Back Scull', 'sets': 1, 'reps': [0]}, {'exercise': 'Ropes - Alternating-Pushup', 'sets': 1, 'reps': [0]}, {'exercise': 'Ropes - Double - Hammer-Grip', 'sets': 1, 'reps': [0]}, {'exercise': 'Ropes - Figure-8 - Hammer-Grip', 'sets': 1, 'reps': [0]}, {'exercise': 'Ropes - Front Scull - Supine Grip', 'sets': 3, 'reps': [0, 0, 0]}, {'exercise': 'Ropes - Figure-8 - Hammer-Grip', 'sets': 2, 'reps': [0, 0]}, {'exercise': 'Ropes - Double - Hammer-Grip', 'sets': 2, 'reps': [0, 0]}, {'exercise': 'Ropes - Alternating-Pushup', 'sets': 2, 'reps': [0, 0]}, {'exercise': 'Ropes - Back Scull', 'sets': 2, 'reps': [0, 0]}]"
A Series Week 18,"[{'exercise': 'Barbell Back Squat', 'sets': 4, 'reps': [2, 2, 2, 2]}]"
Power,"[{'exercise': 'Depth Jump', 'sets': 8, 'reps': [1, 1, 1, 1, 1, 1, 1, 1]}]"
Power Block 2,"[{'exercise': 'Broad Jump', 'sets': 5, 'reps': [1, 1, 1, 1, 1]}]"
Posterior Chain,"[{'exercise': 'DB RDL', 'sets': 3, 'reps': [4, 4, 4]}]"
Banded Warm Up,"[{'exercise': 'Band Tricep Extension', 'sets': 2, 'reps': [10, 10]}]"
Max Effort,"[{'exercise': 'Barbell Bench Press', 'sets': 4, 'reps': [3, 3, 2, 2]}]"
Accessory: Core,"[{'exercise': 'SB Scorpion', 'sets': 3, 'reps': [4, 4, 4]}]"
Accessory,"[{'exercise': 'TRX Y', 'sets': 2, 'reps': [6, 6]}]"
BW Circuit,"[{'exercise': 'Forward - Reverse Lunge', 'sets': 3, 'reps': [6, 6, 6]}, {'exercise': 'Streamline Squat', 'sets': 3, 'reps': [10, 10, 10]}, {'exercise': 'Lateral Lunge', 'sets': 3, 'reps': [8, 8, 8]}]"
AMRAP Core,"[{'exercise': '""V"" Toe Touch', 'sets': 1, 'reps': [10]}, {'exercise': 'Side Bridge Crunch', 'sets': 1, 'reps': [10]}, {'exercise': '6"" Streamline Crunch', 'sets': 1, 'reps': [10]}, {'exercise': 'Side V-Up', 'sets': 1, 'reps': [10]}, {'exercise': 'Lying Flutter Kick', 'sets': 1, 'reps': [10]}]"
C,"[{'exercise': 'Barbell Push Press', 'sets': 4, 'reps': [3, 3, 3, 3]}]"
Circuit (20s rest each),"[{'exercise': 'Reverse Crunches', 'sets': 2, 'reps': [10, 10]}, {'exercise': 'Bicycles - continuous', 'sets': 2, 'reps': [10, 10]}]"
Circuit 1,"[{'exercise': '""V"" Toe Touch', 'sets': 3, 'reps': [10, 10, 10]}, {'exercise': 'Lying Flutter Kick', 'sets': 3, 'reps': [20, 20, 20]}, {'exercise': 'Superman', 'sets': 3, 'reps': [10, 10, 10]}]"
Circuit 2,"[{'exercise': 'Alternating Rope Climb', 'sets': 3, 'reps': [8, 8, 8]}, {'exercise': 'Russian Twists', 'sets': 3, 'reps': [10, 10, 10]}]"
EMOM Block,"[{'exercise': 'DB Reverse Lunge', 'sets': 1, 'reps': [8]}, {'exercise': 'TRX Inverted Row', 'sets': 1, 'reps': [8]}]"
Circuit A,"[{'exercise': 'Hindu Pushup', 'sets': 4, 'reps': [8, 8, 8, 8]}]"
Prep Block,"[{'exercise': 'Rocker', 'sets': 3, 'reps': [0, 0, 0]}]"
RFT Block,"[{'exercise': 'Ladders - Scissors', 'sets': 1, 'reps': [0]}, {'exercise': 'Ladders - Carioca', 'sets': 1, 'reps': [0]}, {'exercise': 'Ladders - Double Ickey', 'sets': 1, 'reps': [0]}, {'exercise': 'Ladders - Slalom - Full', 'sets': 1, 'reps': [0]}]"
Warm Up a,"[{'exercise': 'Prone - Scapular Retraction - Long-lever', 'sets': 1, 'reps': [8]}, {'exercise': 'Arching 3-Legged Downward Dog', 'sets': 1, 'reps': [4]}, {'exercise': '3-Way Calf Raises', 'sets': 1, 'reps': [4]}, {'exercise': 'Lateral Squat', 'sets': 1, 'reps': [4]}]"
Warm Up b,"[{'exercise': 'Dying Bug', 'sets': 1, 'reps': [4]}, {'exercise': 'Prone - Scapular Retraction - Long-lever', 'sets': 1, 'reps': [8]}, {'exercise': 'Arching 3-Legged Downward Dog', 'sets': 1, 'reps': [4]}, {'exercise': 'Lateral Squat', 'sets': 1, 'reps': [4]}]"
AMRAP Biceps,"[{'exercise': 'Barbell Bicep Curl', 'sets': 1, 'reps': [8]}, {'exercise': 'Band Bicep Curl', 'sets': 1, 'reps': [12]}]"
ASeries,"[{'exercise': 'Pullup', 'sets': 4, 'reps': [0, 0, 0, 0]}]"
Snatch Prep warmup,"[{'exercise': 'Barbell Hang Snatch Pull', 'sets': 1, 'reps': [5]}]"
Mobility/Recovery,"[{'exercise': '1 Arm MB Pass', 'sets': 1, 'reps': [0]}, {'exercise': '1-Leg SLDL', 'sets': 1, 'reps': [0]}, {'exercise': 'Band Anti-Rotation', 'sets': 1, 'reps': [0]}, {'exercise': 'Band RDL', 'sets': 1, 'reps': [0]}, {'exercise': 'Bear Crawl - Forward', 'sets': 1, 'reps': [0]}, {'exercise': 'Bear Crawl - Lateral Carioca', 'sets': 1, 'reps': [0]}, {'exercise': 'Bear Crawl - Reverse', 'sets': 1, 'reps': [0]}, {'exercise': 'Bow Pose', 'sets': 1, 'reps': [0]}, {'exercise': 'Elbows to knees - rotation', 'sets': 1, 'reps': [0]}]"
Barbell Complex Warm-Up,"[{'exercise': 'Barbell RDL', 'sets': 1, 'reps': [3]}, {'exercise': 'Barbell Bent-Over Row', 'sets': 1, 'reps': [3]}, {'exercise': 'Barbell Clean High Pull', 'sets': 2, 'reps': [3, 3]}, {'exercise': 'Barbell Bent-Over Row', 'sets': 1, 'reps': [3]}, {'exercise': 'Barbell RDL', 'sets': 1, 'reps': [3]}]"
B Circuit ,"[{'exercise': 'Pistol Squat', 'sets': 3, 'reps': [4, 4, 4]}]"
Stability-Ball Circuit,"[{'exercise': 'SB Crunch', 'sets': 1, 'reps': [8]}, {'exercise': 'SB Hamstring Curl', 'sets': 1, 'reps': [6]}, {'exercise': 'SB Pushup HOLD', 'sets': 1, 'reps': [6]}, {'exercise': 'SB Side Bridge', 'sets': 2, 'reps': [0, 0]}, {'exercise': 'SB Crunch', 'sets': 1, 'reps': [8]}, {'exercise': 'SB Hamstring Curl', 'sets': 1, 'reps': [6]}, {'exercise': 'SB Pushup HOLD', 'sets': 1, 'reps': [6]}, {'exercise': 'SB Crunch', 'sets': 1, 'reps': [8]}, {'exercise': 'SB Hamstring Curl', 'sets': 1, 'reps': [6]}, {'exercise': 'SB Banded Wall Squat', 'sets': 3, 'reps': [6, 6, 6]}]"
Optional Mobility,"[{'exercise': '1 Arm MB Pass', 'sets': 1, 'reps': [6]}, {'exercise': '1-Leg SLDL', 'sets': 1, 'reps': [8]}, {'exercise': 'Band Anti-Rotation', 'sets': 1, 'reps': [10]}, {'exercise': 'Band RDL', 'sets': 1, 'reps': [8]}, {'exercise': 'Bear Crawl - Forward', 'sets': 1, 'reps': [0]}, {'exercise': 'Bear Crawl - Lateral Carioca', 'sets': 1, 'reps': [0]}, {'exercise': 'Bear Crawl - Reverse', 'sets': 1, 'reps': [0]}, {'exercise': 'Bow Pose', 'sets': 1, 'reps': [0]}]"
EMOM Med Ball Block,"[{'exercise': 'MB Throwdown', 'sets': 1, 'reps': [8]}, {'exercise': 'MB Standing Side Throw', 'sets': 1, 'reps': [4]}, {'exercise': 'MB Reverse Crunch -2- Knee Drop', 'sets': 1, 'reps': [8]}]"
Abs,"[{'exercise': 'Reverse Crunches', 'sets': 3, 'reps': [0, 0, 0]}, {'exercise': 'Plate Sky Crunch', 'sets': 3, 'reps': [0, 0, 0]}]"
Lower Body Warmup,"[{'exercise': 'Lateral Squat', 'sets': 1, 'reps': [6]}]"
Primer,"[{'exercise': 'MB Chest Pass', 'sets': 4, 'reps': [5, 5, 5, 5]}]"
A Circuit,"[{'exercise': 'Weight Vest Walking Lunge', 'sets': 3, 'reps': [8, 8, 8]}]"
light,"[{'exercise': 'Lateral Line Hop - Medium', 'sets': 2, 'reps': [10, 10]}]"
Miller Lower Body Warmup,"[{'exercise': 'Lateral Squat', 'sets': 1, 'reps': [6]}]"
a little less light,"[{'exercise': 'Altitude Drop', 'sets': 2, 'reps': [3, 3]}]"
Speed,"[{'exercise': 'Dynamic Warmup', 'sets': 1, 'reps': [0]}]"
Mobility Warmup,"[{'exercise': 'Lateral Squat', 'sets': 1, 'reps': [6]}]"
Fast,"[{'exercise': 'Chinup', 'sets': 1, 'reps': [0]}]"
Warm-Up B,"[{'exercise': 'Arching 3-Legged Downward Dog', 'sets': 1, 'reps': [4]}, {'exercise': '3-Way Calf Raises', 'sets': 1, 'reps': [4]}]"
Warm-Up A,"[{'exercise': 'Prone - Scapular Retraction - Long-lever', 'sets': 1, 'reps': [8]}, {'exercise': 'Back Bridge - March', 'sets': 1, 'reps': [10]}, {'exercise': 'Lunge Series', 'sets': 1, 'reps': [3]}]"
Barbell Complex 1,"[{'exercise': 'Barbell RDL', 'sets': 2, 'reps': [5, 5]}, {'exercise': 'Barbell Bent-Over Row', 'sets': 2, 'reps': [5, 5]}, {'exercise': 'Barbell Clean High Pull', 'sets': 2, 'reps': [5, 5]}, {'exercise': 'Barbell Front Squat', 'sets': 2, 'reps': [5, 5]}, {'exercise': 'Barbell Push Press', 'sets': 2, 'reps': [5, 5]}]"
Isos,"[{'exercise': 'Lying Abduction/Adduction', 'sets': 1, 'reps': [1]}, {'exercise': 'BW Squat', 'sets': 1, 'reps': [1]}, {'exercise': 'Pushup', 'sets': 1, 'reps': [1]}, {'exercise': 'BW Squat', 'sets': 1, 'reps': [1]}]"
